t [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
11094.91224,2,1,0.999833703,3.82715416,1.08171168,0
11104.92776,2,1,0.999833703,3.827963591,1.084493338,0
11114.94331,2,1,0.999653101,3.828934908,1.08727498,0
11124.95885,2,1,1.000194907,3.829906225,1.090056702,0
11134.97443,2,1,1.000014305,3.830715656,1.092838415,0
11144.98996,2,1,0.999833703,3.83184886,1.095620078,0
11155.00557,2,1,0.999653101,3.832496405,1.09840182,0
11165.02083,2,1,1.000014305,3.833791256,1.101179189,0
11175.02102,2,1,0.999833703,3.834438801,1.103960894,0
11185.03653,2,1,0.999833703,3.835410118,1.106742594,0
11195.05215,2,1,1.000014305,3.836381435,1.109524281,0
11205.06775,2,1,0.999833703,3.837352753,1.112305982,0
11215.08326,2,1,1.000014305,3.838162184,1.115087645,0
11225.09872,2,1,0.999833703,3.839295387,1.117869298,0
11235.09875,2,1,0.999833703,3.840266705,1.120646659,0
11245.11431,2,1,0.999833703,3.841238022,1.123428373,0
11255.12985,2,1,1.000014305,3.842209339,1.126210082,0
11265.14512,2,1,1.000014305,3.84301877,1.128987465,0
11275.14522,2,1,0.999833703,3.844151974,1.131769115,0
11285.16102,2,1,1.000014305,3.845123291,1.134550898,0
11295.1765,2,1,0.999833703,3.845932722,1.137332577,0
11305.19166,2,1,0.999833703,3.847227812,1.140114168,0
11315.20723,2,1,1.000014305,3.848037243,1.14289587,0
11325.22274,2,1,1.000014305,3.849170446,1.145677532,0
11335.22309,2,1,0.999833703,3.849979877,1.148455034,0
11345.23862,2,1,0.999833703,3.850951195,1.151236735,0
11355.2539,2,1,0.999833703,3.852246284,1.154014141,0
11365.26975,2,1,1.000014305,3.853217602,1.156800169,0
11375.2853,2,1,0.999833703,3.854188919,1.159581912,0
11385.30107,2,1,0.999833703,3.855160236,1.162363705,0
11395.31617,2,1,0.999833703,3.856131554,1.165141092,0
11405.33209,2,1,0.999833703,3.857426643,1.167927139,0
11415.34755,2,1,0.999833703,3.858236074,1.170708816,0
11425.3631,2,1,1.000014305,3.859531164,1.173490461,0
11435.37867,2,1,0.999833703,3.860502481,1.176272128,0
11445.39421,2,1,1.000014305,3.861635685,1.179053839,0
11455.40979,2,1,0.999833703,3.862607002,1.18183555,0
11465.42532,2,1,0.999833703,3.86357832,1.18461724,0
11475.44089,2,1,0.999833703,3.864711523,1.187398915,0
11485.45644,2,1,0.999833703,3.865844727,1.190180614,0
11495.47202,2,1,0.999653101,3.866816044,1.192962346,0
11505.48757,2,1,0.999833703,3.868111134,1.195744056,0
11515.50315,2,1,1.000194907,3.869244337,1.198525742,0
11525.5184,2,1,0.999833703,3.870377541,1.201307342,0
11535.51862,2,1,0.999833703,3.871348858,1.204084814,0
11545.53418,2,1,0.999833703,3.872320175,1.20686656,0
11555.54978,2,1,0.999833703,3.873615265,1.209648339,0
11565.5651,2,1,0.999833703,3.874748468,1.212425784,0
11575.58089,2,1,1.000014305,3.875881672,1.215211914,0
11585.59616,2,1,0.999833703,3.876852989,1.217989348,0
11595.59638,2,1,1.000194907,3.878148079,1.22077108,0
11605.61193,2,1,0.999653101,3.879281282,1.223552798,0
11615.62747,2,1,0.999833703,3.880414486,1.226334505,0
11625.64303,2,1,0.999833703,3.881547689,1.229116236,0
11635.65863,2,1,0.999833703,3.882842779,1.231897959,0
11645.65865,2,1,0.999833703,3.883814096,1.234675389,0
11655.67375,2,1,0.999653101,3.8849473,1.237452785,0
11665.67404,2,1,0.999833703,3.88624239,1.240234513,0
11675.68962,2,1,1.000014305,3.887375593,1.243016291,0
11685.70515,2,1,0.999833703,3.888670683,1.245798043,0
11695.72073,2,1,1.000014305,3.889803886,1.248579775,0
11705.73628,2,1,1.000014305,3.891098976,1.251361475,0
11715.75162,2,1,0.999833703,3.89223218,1.254143185,0
11725.76741,2,1,0.999833703,3.893365383,1.256925044,0
11735.78296,2,1,1.000014305,3.894660473,1.259706815,0
11745.7984,2,1,0.999833703,3.895793676,1.262488544,0
11755.81408,2,1,0.999653101,3.89692688,1.265270306,0
11765.82967,2,1,1.000014305,3.89822197,1.268052066,0
11775.82967,2,1,1.000014305,3.899517059,1.270829489,0
