t [s],tt [s],Step_Index,Cycle_Index,I [A],V [V],cap_charge [Ahr],cap_discharge [Ahr]
2621.731727,2561.730072,2,1,0.999833703,3.721928358,0.711488832,0
2631.732574,2571.730919,2,1,0.999833703,3.722414017,0.714266539,0
2641.737411,2581.735756,2,1,0.999833703,3.722899675,0.717045324,0
2651.742189,2591.740534,2,1,1.000014305,3.723385334,0.719824133,0
2661.753722,2601.752067,2,1,1.000014305,3.723709106,0.722604822,0
2671.757515,2611.75586,2,1,0.999833703,3.724032879,0.725383281,0
2681.762328,2621.760674,2,1,0.999833703,3.724680424,0.728162032,0
2691.772933,2631.771278,2,1,0.999833703,3.725166082,0.730942404,0
2701.777746,2641.776091,2,1,1.000014305,3.725651741,0.733721208,0
2711.781526,2651.779871,2,1,0.999653101,3.725975513,0.736499745,0
2721.794123,2661.792468,2,1,0.999833703,3.726461172,0.739280713,0
2731.799846,2671.798191,2,1,1.000014305,3.726946831,0.742059826,0
2741.805595,2681.80394,2,1,0.999833703,3.727270603,0.74483891,0
2751.815248,2691.813593,2,1,0.999833703,3.727756262,0.747619079,0
2761.819037,2701.817382,2,1,0.999833703,3.72824192,0.750397605,0
2771.822844,2711.821189,2,1,0.999833703,3.728727579,0.753176184,0
2781.831554,2721.8299,2,1,0.999833703,3.729051352,0.755956112,0
2791.83535,2731.833695,2,1,0.999833703,3.72953701,0.758734638,0
2801.839151,2741.837496,2,1,0.999833703,3.730022669,0.761513188,0
2811.8488,2751.847145,2,1,0.999833703,3.730508327,0.764293337,0
2821.852566,2761.850911,2,1,0.999653101,3.7308321,0.767071854,0
2831.856398,2771.854743,2,1,0.999833703,3.731479645,0.769850394,0
2841.867002,2781.865347,2,1,0.999653101,3.731965303,0.772630796,0
2851.870836,2791.869181,2,1,0.999833703,3.732289076,0.775409343,0
2861.874615,2801.87296,2,1,0.999833703,3.733098507,0.778187884,0
2871.885262,2811.883607,2,1,0.999833703,3.733422279,0.780968313,0
2881.889096,2821.887441,2,1,0.999833703,3.733907938,0.783746836,0
2891.892851,2831.891196,2,1,0.999833703,3.734393597,0.786525333,0
2901.900631,2841.898976,2,1,0.999653101,3.734717369,0.789304905,0
2911.904339,2851.902684,2,1,1.000014305,3.735203028,0.792083388,0
2921.90817,2861.906515,2,1,1.000014305,3.735850573,0.79486192,0
2931.918762,2871.917107,2,1,0.999833703,3.736336231,0.797642294,0
2941.924518,2881.922863,2,1,1.000014305,3.73682189,0.800421363,0
2951.928307,2891.926652,2,1,0.999833703,3.737307549,0.803199871,0
2961.937971,2901.936316,2,1,0.999833703,3.737631321,0.805980007,0
2971.940807,2911.939152,2,1,1.000014305,3.738440752,0.808758287,0
2981.944577,2921.942922,2,1,0.999833703,3.738764524,0.811536816,0
2991.945452,2931.943797,2,1,0.999833703,3.739412069,0.814314539,0
3001.949251,2941.947596,2,1,1.000014305,3.740059614,0.817093101,0
3011.955014,2951.953359,2,1,1.000014305,3.740545273,0.81987217,0
3021.963692,2961.962037,2,1,0.999833703,3.741030931,0.822652031,0
3031.967528,2971.965873,2,1,0.999653101,3.741354704,0.825430565,0
3041.971329,2981.969674,2,1,0.999833703,3.742002249,0.828209107,0
3051.981907,2991.980252,2,1,0.999833703,3.742487907,0.830989493,0
3061.985727,3001.984072,2,1,0.999833703,3.743135452,0.833767975,0
3071.989568,3011.987913,2,1,0.999653101,3.743459225,0.836546485,0
3081.999195,3021.99754,2,1,0.999833703,3.74410677,0.839326603,0
3092.002971,3032.001316,2,1,1.000014305,3.744592428,0.842105071,0
3102.006764,3042.005109,2,1,1.000014305,3.745239973,0.844883541,0
3112.016434,3052.014779,2,1,0.999833703,3.745725632,0.847663633,0
3122.023133,3062.021478,2,1,1.000014305,3.746373177,0.85044291,0
3132.026989,3072.025334,2,1,0.999653101,3.746858835,0.853221417,0
3142.038563,3082.036908,2,1,1.000194907,3.747344494,0.856002085,0
3152.042343,3092.040688,2,1,1.000014305,3.748153925,0.858780563,0
3162.047139,3102.045484,2,1,0.999833703,3.748639584,0.861559374,0
3172.056775,3112.05512,2,1,0.999833703,3.749125242,0.864339505,0
3182.060568,3122.058913,2,1,1.000014305,3.749772787,0.867118039,0
3192.06438,3132.062725,2,1,0.999833703,3.749934673,0.869896566,0
3202.073059,3142.071404,2,1,0.999833703,3.750744104,0.872676411,0
3212.076896,3152.075241,2,1,0.999833703,3.751553535,0.875454942,0
3222.080679,3162.079024,2,1,1.000014305,3.75220108,0.878233483,0
3232.090353,3172.088698,2,1,0.999653101,3.752524853,0.881013627,0
3242.094224,3182.092569,2,1,0.999833703,3.753172159,0.883792153,0
3252.097931,3192.096276,2,1,1.000014305,3.75398159,0.88657061,0
3262.108522,3202.106867,2,1,1.000014305,3.754305363,0.889351001,0
3272.112341,3212.110686,2,1,0.999653101,3.754952908,0.892129525,0
3282.117093,3222.115438,2,1,1.000014305,3.755600452,0.894908251,0
3292.126789,3232.125134,2,1,0.999653101,3.756086111,0.89768838,0
3302.130549,3242.128894,2,1,1.000014305,3.756895542,0.90046686,0
3312.13435,3252.132695,2,1,0.999833703,3.757543087,0.903245355,0
3322.145941,3262.144286,2,1,0.999833703,3.758190632,0.906026015,0
3332.150701,3272.149046,2,1,1.000014305,3.758838177,0.908804771,0
3342.154502,3282.152847,2,1,0.999833703,3.759323835,0.911583267,0
3352.163207,3292.161552,2,1,1.000014305,3.760133266,0.914363106,0
3362.166985,3302.16533,2,1,1.000014305,3.760618925,0.917141587,0
3372.170827,3312.169172,2,1,0.999833703,3.76126647,0.919920083,0
3382.181453,3322.179798,2,1,0.999653101,3.761752129,0.922700456,0
3392.185274,3332.18362,2,1,1.000014305,3.762723446,0.925478969,0
3402.189083,3342.187428,2,1,0.999833703,3.763370991,0.928257486,0
3412.200637,3352.198982,2,1,1.000014305,3.764018536,0.931038168,0
3422.204423,3362.202768,2,1,0.999833703,3.76466608,0.933816668,0
3432.209283,3372.207628,2,1,1.000014305,3.765313625,0.93659545,0
3442.218874,3382.217219,2,1,0.999833703,3.76596117,0.939375556,0
3452.222659,3392.221004,2,1,0.999653101,3.766608715,0.942154041,0
3462.226473,3402.224818,2,1,0.999653101,3.767418146,0.944932575,0
3472.235127,3412.233472,2,1,0.999653101,3.767903805,0.94771247,0
3482.238929,3422.237274,2,1,1.000014305,3.768875122,0.950490991,0
3492.242712,3432.241057,2,1,0.999833703,3.769360781,0.953269513,0
3502.252397,3442.250742,2,1,1.000014305,3.770332098,0.956049655,0
3512.256169,3452.254514,2,1,0.999833703,3.771141529,0.95882817,0
3522.259991,3462.258336,2,1,0.999833703,3.771789074,0.961606717,0
3532.269624,3472.267969,2,1,0.999653101,3.772436619,0.964386845,0
3542.273504,3482.271849,2,1,0.999833703,3.77324605,0.967165376,0
3552.277215,3492.27556,2,1,0.999833703,3.774055481,0.969943854,0
3562.285895,3502.28424,2,1,0.999653101,3.774703026,0.972723709,0
3572.289738,3512.288083,2,1,0.999833703,3.775512457,0.975502194,0
3582.293513,3522.291858,2,1,0.999833703,3.776321888,0.978280619,0
3592.304142,3532.302487,2,1,1.000014305,3.777293205,0.981061005,0
3602.307936,3542.306281,2,1,0.999833703,3.77794075,0.983839462,0
3612.311721,3552.310066,2,1,1.000014305,3.778750181,0.986617956,0
3622.322407,3562.320752,2,1,1.000014305,3.779721498,0.989398402,0
3632.326199,3572.324544,2,1,0.999833703,3.780369043,0.992176892,0
3642.329975,3582.32832,2,1,0.999833703,3.781178474,0.994955381,0
3652.338663,3592.337008,2,1,0.999833703,3.781987906,0.997735222,0
3662.34243,3602.340775,2,1,0.999833703,3.782959223,1.00051373,0
3672.346229,3612.344574,2,1,0.999833703,3.783768654,1.003292275,0
3682.356897,3622.355242,2,1,0.999833703,3.784739971,1.006072708,0
3692.359687,3632.358032,2,1,1.000014305,3.785549402,1.008850939,0
3702.363518,3642.361863,2,1,0.999653101,3.786358833,1.011629443,0
3712.375093,3652.373438,2,1,0.999833703,3.787330151,1.014410071,0
3722.378894,3662.377239,2,1,1.000014305,3.788301468,1.017188594,0
3732.379795,3672.37814,2,1,1.000014305,3.789110899,1.019966328,0
3742.390415,3682.38876,2,1,1.000014305,3.790082216,1.0227467,0
3752.394212,3692.392557,2,1,0.999653101,3.790729761,1.025525231,0
3762.397909,3702.396254,2,1,0.999833703,3.792024851,1.028303717,0
3772.407637,3712.405982,2,1,0.999833703,3.792834282,1.031083894,0
3782.411414,3722.409759,2,1,0.999833703,3.793805599,1.033862374,0
3792.415231,3732.413577,2,1,0.999833703,3.79461503,1.036640875,0
3802.42586,3742.424205,2,1,1.000014305,3.79591012,1.039421287,0
3812.429725,3752.42807,2,1,0.999833703,3.796557665,1.042199802,0
3822.432562,3762.430907,2,1,0.999833703,3.797852755,1.044977977,0
3832.44415,3772.442495,2,1,1.000014305,3.798824072,1.047758625,0
3842.447916,3782.446261,2,1,1.000194907,3.799633503,1.050537125,0
3852.45168,3792.450025,2,1,1.000014305,3.80060482,1.053315614,0
3862.4604,3802.458745,2,1,0.999833703,3.801576138,1.056095495,0
